Person ID,X,Y
218,441,139
218,480,183
218,480,183
218,480,184
218,481,184
218,476,184
218,477,186
218,478,188
218,479,190
218,481,192
218,482,195
218,483,197
218,469,188
218,469,189
218,469,190
218,469,192
218,469,193
218,452,173
218,449,169
218,447,168
218,445,167
218,443,166
218,442,165
218,440,164
218,439,163
218,437,162
218,435,161
218,433,160
218,431,159
218,430,158
218,428,157
218,427,155
218,425,155
218,423,154
218,421,152
218,419,152
218,399,121
218,396,118
218,394,116
218,391,113
218,388,110
218,385,108
218,383,105
218,380,102
218,377,100
218,374,97
218,372,95
218,369,92
218,366,90
218,363,87
218,361,84
218,358,82
218,355,79
218,352,77
218,350,74
218,347,71
218,344,69
218,341,66
218,339,64
218,336,61
218,333,59
218,330,56
218,328,54
218,325,51
218,322,48
218,320,46
218,317,43
239,452,145
239,457,147
239,461,150
239,465,152
239,469,155
239,474,157
239,478,160
239,482,162
239,487,165
239,491,167
239,495,170
239,499,172
239,503,174
239,508,177
239,512,179
239,517,182
239,521,184
239,525,187
239,529,189
239,533,192
239,538,194
239,542,196
239,546,199
239,551,201
239,555,204
239,559,206
239,563,209
239,567,211
239,572,214
239,576,216
248,1311,508
248,1318,535
248,1322,545
248,1324,541
248,1323,528
248,1323,524
248,1325,521
248,1324,502
248,1320,489
248,1319,479
248,1320,469
248,1325,464
248,1333,460
248,1332,457
248,1328,457
248,1324,470
248,1315,478
248,1313,481
248,1313,481
248,1298,476
248,1285,478
248,1278,465
248,1267,461
248,1265,452
248,1268,450
248,1272,447
248,1273,447
248,1282,445
248,1290,448
248,1293,471
248,1297,474
248,1301,470
248,1301,467
248,1300,468
248,1299,462
248,1303,463
248,1306,460
248,1308,460
248,1316,456
248,1318,447
248,1316,441
248,1311,436
248,1312,431
248,1311,428
248,1310,425
248,1306,418
248,1305,415
248,1304,413
248,1305,411
248,1306,407
248,1309,408
248,1308,407
248,1309,407
248,1320,401
248,1330,395
248,1338,404
248,1333,417
248,1330,425
248,1333,410
248,1337,397
248,1344,387
248,1344,377
248,1341,375
248,1341,375
248,1338,375
248,1334,375
248,1333,378
248,1327,372
248,1323,384
248,1329,374
248,1328,372
248,1327,370
248,1327,368
248,1326,366
248,1326,364
248,1326,362
248,1326,360
248,1325,359
248,1325,357
248,1325,355
248,1324,353
248,1331,357
248,1321,362
248,1320,361
248,1319,360
248,1318,359
248,1318,358
248,1317,357
248,1320,502
248,1319,515
