Person ID,X,Y
1,1313,558
1,1313,558
1,1313,558
1,1313,558
1,1313,558
1,1313,558
1,1313,558
1,1313,558
1,1313,558
1,1313,558
1,1313,558
1,1313,558
1,1313,558
1,1313,558
1,1313,557
1,1313,558
1,1313,558
1,1313,557
1,1313,558
1,1313,558
1,1313,558
1,1313,558
1,1313,558
1,1313,558
1,1313,558
1,1313,558
1,1313,558
1,1313,558
1,1313,558
1,1313,558
1,1313,558
1,1313,558
1,1313,558
1,1313,558
1,1313,558
1,1312,558
1,1314,558
1,1313,554
1,1316,550
1,1318,547
1,1320,540
1,1321,528
1,1321,522
1,1321,518
1,1322,499
1,1317,487
1,1318,476
1,1318,466
1,1323,463
1,1329,460
1,1330,457
1,1330,473
1,1323,479
1,1315,480
1,1312,480
1,1304,477
1,1289,480
1,1286,479
1,1278,463
1,1268,459
1,1268,452
1,1269,451
1,1271,447
1,1272,449
1,1282,447
1,1281,445
1,1296,457
1,1296,468
1,1301,466
1,1300,467
1,1301,467
1,1301,465
1,1304,467
1,1305,461
1,1308,459
1,1316,454
1,1318,446
1,1314,440
1,1311,436
1,1310,431
1,1310,429
1,1310,421
1,1308,418
1,1305,414
1,1303,413
1,1305,413
1,1307,408
1,1308,409
1,1309,409
1,1312,408
1,1321,403
1,1332,398
1,1339,406
1,1333,420
1,1331,428
1,1337,410
1,1341,396
1,1345,388
1,1348,379
1,1344,375
1,1342,376
1,1340,375
1,1334,376
1,1331,375
1,1325,370
1,1322,385
1,1328,376
1,1327,373
1,1326,372
1,1326,370
1,1326,368
1,1325,367
1,1325,365
1,1324,364
1,1324,362
1,1323,360
1,1323,358
1,1323,357
1,1328,356
1,1324,363
1,1283,473
1,1277,485
1,1273,496
1,1303,512
1,1314,513
1,1316,515
1,1316,525
1,1340,531
1,1353,533
1,1357,543
1,1380,520
1,1386,525
1,1391,531
1,1396,536
1,1401,542
1,1442,489
1,1445,484
1,1453,484
1,1461,483
1,1469,483
1,1477,483
1,1485,483
1,1493,483
1,1501,483
1,1509,483
1,1517,482
1,1525,482
1,1533,482
1,1540,482
1,1549,482
1,1556,481
1,1564,482
1,1572,481
1,1580,481
1,1588,481
1,1596,481
1,1604,481
1,1612,480
1,1620,480
1,1628,480
1,1635,480
1,1644,480
1,1651,480
1,1659,479
1,1667,479
1,1675,479
1,1683,479
2,1457,838
2,1457,838
2,1457,838
2,1457,838
2,1457,838
2,1457,838
2,1457,838
2,1457,838
2,1457,838
2,1457,838
2,1457,838
2,1457,838
2,1457,838
2,1457,838
2,1457,838
2,1457,838
2,1457,838
2,1457,838
2,1457,838
2,1457,838
2,1457,838
2,1457,838
2,1457,838
2,1457,838
2,1457,838
2,1457,838
2,1457,838
2,1457,838
2,1457,838
2,1457,838
2,1457,838
2,1457,838
2,1457,838
2,1457,838
2,1457,838
2,1457,838
2,1448,836
2,1419,831
2,1405,822
2,1410,813
2,1406,804
2,1368,797
2,1334,788
2,1316,764
2,1299,753
2,1294,749
2,1269,748
2,1251,741
2,1249,730
2,1247,731
2,1220,730
2,1201,729
2,1194,716
2,1186,700
2,1174,717
2,1160,718
2,1157,716
2,1173,713
2,1184,722
2,1140,682
2,1119,673
2,1105,668
2,1135,708
2,1137,723
2,1129,763
2,1110,736
2,1091,722
2,1077,717
2,1072,720
2,1073,719
2,1077,721
2,1076,719
2,1082,716
2,1085,718
2,1083,719
2,1081,709
2,1082,690
2,1081,692
2,1069,699
2,1061,697
2,1064,697
2,1061,695
2,1057,694
2,1046,699
2,1042,699
2,1045,700
2,1056,704
2,1060,701
2,1063,697
2,1068,698
2,1068,697
2,1074,702
2,1080,695
2,1093,695
2,1098,701
2,1103,703
2,1107,699
2,1110,694
2,1109,646
2,1106,633
2,1138,682
2,1144,703
2,1150,714
2,1156,722
2,1162,726
2,1168,731
2,1174,735
2,1179,739
2,1185,744
2,1191,748
2,1245,631
2,1280,476
2,1271,527
2,1287,547
2,1297,541
2,1307,534
2,1318,527
2,1242,567
2,1238,569
2,1398,726
2,1452,779
2,1469,799
2,1473,808
2,1475,810
2,1473,816
2,1475,814
2,1484,810
2,1486,807
2,1481,799
2,1472,751
2,1481,754
2,1481,750
2,1481,755
2,1479,751
2,1478,738
2,1479,725
2,1477,711
2,1480,705
2,1479,702
2,1487,706
